genotype	pheno
AxB0001	9.890637
AxB0002	6.546568
AxB0003	7.899249
AxB0004	4.462866
AxB0005	5.207757
AxB0006	5.26558
AxB0007	4.048383
AxB0008	3.905782
AxB0009	3.306525
AxB0010	5.509569
AxB0011	2.843645
AxB0012	4.872902
AxB0013	11.26397
AxB0014	3.63089
AxB0015	5.287119
AxB0016	5.982439
AxB0017	6.126333
AxB0018	8.212635
AxB0019	6.832774
AxB0020	4.201836
AxB0021	6.042695
AxB0022	2.982125
AxB0023	7.012945
AxB0024	5.566559
AxB0025	4.628961
AxB0026	4.868831
AxB0027	8.07723
AxB0028	0.2652
AxB0029	6.240139
AxB0030	6.107896
AxB0031	5.41845
AxB0032	6.651501
AxB0033	7.136219
AxB0034	9.414448
AxB0035	5.375097
AxB0036	6.68848
AxB0037	3.736335
AxB0038	5.162558
AxB0039	4.553722
AxB0040	6.401276
AxB0041	5.723185
AxB0042	5.641031
AxB0043	1.998546
AxB0044	5.727208
AxB0045	2.662414
AxB0046	8.141589
AxB0047	6.743906
AxB0048	6.326044
AxB0049	1.676421
AxB0050	2.773224
AxB0051	4.457766
AxB0052	6.828765
AxB0053	4.877245
AxB0054	6.879346
AxB0055	6.840079
AxB0056	5.576174
AxB0057	5.355674
AxB0058	9.029096
AxB0059	4.350015
AxB0060	5.653065
AxB0061	6.530641
AxB0062	2.045272
AxB0063	8.454037
AxB0064	9.74677
AxB0065	5.036264
AxB0066	4.028227
AxB0067	10.337553
AxB0068	6.079582
AxB0069	6.282451
AxB0070	4.197671
AxB0071	7.714165
AxB0072	2.620872
AxB0073	5.18406
AxB0074	6.903185
AxB0075	6.873755
AxB0076	5.562101
AxB0077	4.720254
AxB0078	7.365088
AxB0079	6.116975
AxB0080	6.040294
AxB0081	3.844261
AxB0082	3.331015
AxB0083	4.643936
AxB0084	7.295735
AxB0085	5.640107
AxB0086	3.968248
AxB0087	5.615573
AxB0088	6.880953
AxB0089	5.818756
AxB0090	3.375909
AxB0091	4.75346
AxB0092	4.249569
AxB0093	7.424931
AxB0094	2.992552
AxB0095	7.990373
AxB0096	7.296311
AxB0097	4.850069
AxB0098	5.066928
AxB0099	5.508399
AxB0100	6.798229
AxC0001	6.816073
AxC0002	5.314523
AxC0003	3.906967
AxC0004	6.180572
AxC0005	8.186974
AxC0006	8.058659
AxC0007	4.191549
AxC0008	5.281435
AxC0009	8.883891
AxC0010	4.613585
AxC0011	5.358853
AxC0012	8.313207
AxC0013	9.479138
AxC0014	3.705099
AxC0015	9.316374
AxC0016	7.076387
AxC0017	5.655928
AxC0018	9.41658
AxC0019	7.777611
AxC0020	5.987149
AxC0021	5.510716
AxC0022	5.799098
AxC0023	3.933003
AxC0024	8.608524
AxC0025	3.550885
AxC0026	5.60008
AxC0027	7.104903
AxC0028	3.020879
AxC0029	3.347931
AxC0030	9.409077
AxC0031	9.709191
AxC0032	5.819156
AxC0033	6.040588
AxC0034	8.935311
AxC0035	3.817034
AxC0036	3.785109
AxC0037	6.821782
AxC0038	4.607637
AxC0039	6.28088
AxC0040	8.132733
AxC0041	7.372775
AxC0042	5.561363
AxC0043	7.7485
AxC0044	5.351367
AxC0045	6.347188
AxC0046	7.266811
AxC0047	5.854579
AxC0048	6.222308
AxC0049	4.43077
AxC0050	7.691454
AxC0051	5.190238
AxC0052	4.69604
AxC0053	4.512984
AxC0054	4.669771
AxC0055	5.885314
AxC0056	5.236465
AxC0057	7.306506
AxC0058	6.308366
AxC0059	5.098423
AxC0060	3.238778
AxC0061	6.452397
AxC0062	3.759638
AxC0063	7.774157
AxC0064	1.88612
AxC0065	5.984834
AxC0066	8.395492
AxC0067	8.539052
AxC0068	3.484074
AxC0069	5.211322
AxC0070	7.558044
AxC0071	7.147118
AxC0072	4.674892
AxC0073	4.793826
AxC0074	5.606405
AxC0075	6.813683
AxC0076	8.432454
AxC0077	3.980567
AxC0078	9.390474
AxC0079	7.196074
AxC0080	4.49015
