ID	M1_1	M1_2	M1_3	M1_4	M1_5	M1_6	M1_7	M1_8	M1_9	M1_10	M1_11	M2_1	M2_2	M2_3	M2_4	M2_5	M2_6	M2_7	M2_8	M2_9	M2_10	M2_11	M3_1	M3_2	M3_3	M3_4	M3_5	M3_6	M3_7	M3_8	M3_9	M3_10	M3_11	M4_1	M4_2	M4_3	M4_4	M4_5	M4_6	M4_7	M4_8	M4_9	M4_10	M4_11	M5_1	M5_2	M5_3	M5_4	M5_5	M5_6	M5_7	M5_8	M5_9	M5_10	M5_11
A	1	2	2	2	1	1	2	2	1	2	2	1	2	1	2	2	2	1	2	1	1	2	2	2	1	1	1	1	2	1	1	1	2	1	2	1	2	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	1	1	2
B	2	2	2	1	1	2	2	2	2	1	1	2	2	2	2	1	2	2	1	2	2	1	1	1	2	2	2	1	1	2	2	2	2	1	2	2	1	1	1	2	2	2	1	1	2	1	2	2	1	2	2	2	1	2	2
AxB0001	1	2	2	1	1	2	2	2	2	1	1	1	2	2	2	1	2	2	2	1	1	2	1	2	1	1	1	1	2	1	1	1	2	1	2	2	1	1	1	2	1	2	1	1	2	1	2	2	1	2	2	1	1	2	2
AxB0002	2	2	2	2	1	1	2	2	1	1	1	1	2	1	2	2	2	1	2	1	1	2	1	1	2	2	2	1	1	2	2	2	2	1	2	2	1	1	1	2	2	2	1	1	2	1	2	2	1	2	2	1	1	1	2
AxB0003	1	2	2	2	1	1	2	2	2	1	1	2	2	2	2	1	2	2	2	1	1	2	2	2	1	1	1	1	1	1	2	2	2	1	2	2	1	1	1	2	2	2	2	1	2	1	2	2	1	2	2	1	1	2	2
AxB0004	1	2	2	2	1	1	2	2	1	2	2	2	2	2	2	2	2	1	2	1	1	2	1	1	2	2	2	1	2	2	2	2	2	1	2	1	2	1	1	1	1	2	2	1	2	1	2	2	1	1	2	1	1	1	2
AxB0005	2	2	2	1	1	1	2	2	1	2	2	1	2	2	2	1	2	2	1	2	2	1	1	2	2	2	2	1	1	2	2	2	2	1	2	1	2	1	1	2	2	2	1	1	2	1	2	2	1	2	2	2	1	2	2
AxB0006	1	2	2	2	1	1	2	2	2	1	1	1	2	1	2	2	2	1	1	2	2	1	1	2	1	1	1	1	1	2	2	2	2	1	2	2	1	1	1	2	2	2	1	1	2	1	2	2	1	1	2	1	1	1	2
AxB0007	1	2	2	2	1	2	2	2	2	1	1	1	2	1	2	1	2	2	1	2	2	1	1	1	2	2	2	1	2	1	1	1	2	1	2	1	2	1	1	1	1	2	2	1	1	1	2	2	1	1	2	2	1	2	2
AxB0008	1	2	2	2	1	1	2	2	1	2	1	1	2	2	2	1	2	2	1	2	2	1	1	1	1	1	2	1	2	1	1	1	2	1	2	1	2	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	1	2	2
AxB0009	1	2	2	2	1	1	2	2	1	2	2	1	2	1	2	2	2	2	1	2	1	2	2	1	2	2	2	1	2	1	2	2	2	1	2	2	1	1	1	2	1	2	1	1	2	1	2	2	1	2	2	2	1	2	2
AxB0010	1	2	2	2	1	2	2	2	2	1	1	2	2	1	2	2	2	1	2	1	1	2	1	1	2	2	2	1	1	2	2	2	2	1	2	1	2	1	1	1	1	2	1	1	2	1	1	2	1	1	2	1	1	1	2
AxB0011	1	2	2	2	1	2	2	2	2	2	2	1	2	2	2	1	2	1	1	2	1	2	1	1	2	2	2	1	2	1	2	1	2	1	2	2	1	1	1	2	2	2	1	1	2	1	2	2	1	1	2	2	1	1	2
AxB0012	1	2	2	2	1	1	2	2	1	2	1	1	2	1	2	1	2	2	1	1	1	2	1	2	1	2	2	1	1	2	2	2	2	1	2	1	2	1	1	2	2	2	1	1	1	1	1	2	1	2	2	2	1	1	2
AxB0013	1	2	2	2	1	2	2	2	2	1	1	2	2	2	2	2	2	1	2	1	1	2	2	2	2	2	1	1	2	1	1	1	2	1	2	1	2	1	1	2	2	2	1	1	2	1	2	2	1	1	2	2	1	2	2
AxB0014	1	2	2	2	1	2	2	2	2	1	1	1	2	2	2	2	2	2	1	2	2	1	2	1	2	2	2	1	1	2	2	2	2	1	2	1	2	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	2	2
AxB0015	2	2	2	2	1	1	2	2	2	1	1	2	2	2	2	2	2	1	2	1	1	2	2	2	1	1	1	1	2	1	1	1	2	1	2	2	1	1	1	1	1	2	1	1	2	1	2	2	1	2	2	2	1	1	2
AxB0016	2	2	2	1	1	1	2	2	2	1	1	1	2	1	2	1	2	2	1	2	2	1	2	2	2	2	2	1	2	1	1	1	2	1	2	2	1	1	1	1	1	2	2	1	1	1	2	2	1	2	2	2	1	2	2
AxB0017	2	2	2	1	1	2	2	2	1	2	2	2	2	2	2	1	2	2	1	2	2	2	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2	1	1	1	1	2	2	1	1	1	1	2	1	2	2	1	1	1	2
AxB0018	2	2	2	1	1	2	2	2	2	1	1	2	2	2	2	1	2	1	2	1	1	2	2	2	2	2	2	1	1	2	2	2	2	1	2	2	1	1	1	2	1	2	2	1	1	1	1	2	1	1	2	1	1	1	2
AxB0019	1	2	2	2	1	1	2	2	1	2	2	1	2	1	2	1	2	1	2	1	1	2	2	2	2	2	2	1	1	2	2	2	2	1	2	1	2	1	1	2	2	2	1	1	1	1	1	2	1	1	2	1	1	1	2
AxB0020	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	1	2	2	1	2	2	1	1	1	2	2	1	1	1	2	2	2	2	1	2	1	2	1	1	1	1	2	2	1	2	1	2	2	1	1	2	1	1	2	2
AxB0021	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	1	1	1	1	2	2	1	2	2	2	1	1	2	2	1	2	1	2	1	2	1	1	1	1	2	2	1	2	1	1	2	1	1	2	2	1	1	2
AxB0022	1	2	2	1	1	2	2	2	2	1	1	2	2	2	2	1	2	2	1	2	1	2	1	1	2	2	2	1	1	2	1	1	2	1	2	1	2	1	1	1	1	2	2	1	2	1	2	2	1	2	2	1	1	1	2
AxB0023	2	2	2	1	1	2	2	2	2	1	1	1	2	1	2	2	2	1	2	1	1	2	2	2	1	1	1	1	1	2	2	2	2	1	2	2	1	1	1	1	1	2	2	1	2	1	2	2	1	2	2	2	1	2	2
AxB0024	1	2	2	2	1	2	2	2	2	1	2	2	2	2	2	1	2	2	2	1	2	1	2	2	1	1	1	1	2	1	2	2	2	1	2	1	2	1	1	1	1	2	1	1	1	1	2	2	1	1	2	1	1	1	2
AxB0025	2	2	2	2	1	1	2	2	2	2	2	2	2	1	2	2	2	2	2	1	1	1	2	2	1	1	2	1	1	2	1	1	2	1	2	1	1	1	1	2	2	2	1	1	2	1	2	2	1	1	2	1	1	1	2
AxB0026	2	2	2	2	1	1	2	2	2	1	1	2	2	2	2	2	2	2	1	2	2	1	2	2	1	1	1	1	2	1	1	1	2	1	2	2	1	1	1	2	2	2	2	1	1	1	2	2	1	2	2	2	1	2	2
AxB0027	2	2	2	1	1	2	2	2	1	2	1	1	2	2	2	1	2	2	2	1	1	2	2	2	1	1	1	1	2	1	1	1	2	1	2	1	2	1	1	2	2	2	1	1	1	1	1	2	1	1	2	1	1	1	2
AxB0028	1	2	2	2	1	1	2	2	1	2	2	2	2	2	2	1	2	2	1	2	1	2	2	2	1	2	2	1	1	2	2	2	2	1	2	1	2	1	1	2	2	2	2	1	2	1	2	2	1	2	2	2	1	2	2
AxB0029	1	2	2	1	1	1	2	2	1	2	2	2	2	2	2	2	2	1	2	1	1	2	2	2	1	1	2	1	1	1	1	2	2	1	2	1	2	1	1	1	1	2	2	1	1	1	2	2	1	1	2	1	1	2	2
AxB0030	2	2	2	2	1	1	2	2	1	2	2	2	2	1	2	1	2	1	2	1	1	2	2	2	1	1	1	1	2	1	2	2	2	1	2	1	2	1	1	1	1	2	2	1	1	1	2	2	1	2	2	2	1	2	2
AxB0031	2	2	2	1	1	2	2	2	2	1	1	1	2	2	2	1	2	2	1	2	2	1	2	1	2	2	2	1	1	1	1	1	2	1	2	1	2	1	1	1	1	2	2	1	1	1	2	2	1	2	2	1	1	2	2
AxB0032	2	2	2	1	1	2	2	2	2	1	1	2	2	2	2	1	2	2	1	2	2	2	1	1	2	2	2	1	2	1	1	2	2	1	2	1	1	1	1	2	2	2	1	1	1	1	2	2	1	2	2	1	1	2	2
AxB0033	2	2	2	1	1	2	2	2	2	1	1	1	2	1	2	2	2	1	2	2	2	1	1	1	2	2	1	1	1	2	2	2	2	1	2	1	2	1	1	1	1	2	2	1	2	1	2	2	1	2	2	2	1	2	2
AxB0034	1	2	2	2	1	2	2	2	2	1	1	2	2	2	2	1	2	1	2	1	1	2	2	2	1	1	1	1	2	1	1	1	2	1	2	2	1	1	1	1	1	2	1	1	2	1	2	2	1	1	2	1	1	1	2
AxB0035	2	2	2	1	1	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	1	1	1	2	2	2	1	2	1	2	2	2	1	2	1	2	1	1	1	1	2	2	1	2	1	1	2	1	2	2	2	1	1	2
AxB0036	2	2	2	1	1	2	2	2	2	2	2	2	2	1	2	2	2	1	2	1	1	2	1	1	2	2	2	1	1	2	1	2	2	1	2	1	1	1	1	2	2	2	1	1	2	1	1	2	1	1	2	1	1	1	2
AxB0037	2	2	2	2	1	2	2	2	2	1	1	2	2	2	2	1	2	2	1	2	2	1	2	2	1	1	1	1	2	1	1	1	2	1	2	2	1	1	1	2	2	2	1	1	1	1	2	2	1	2	2	2	1	2	2
AxB0038	1	2	2	2	1	1	2	2	1	2	2	2	2	1	2	2	2	1	2	1	1	2	1	1	2	2	2	1	1	2	2	1	2	1	2	2	1	1	1	2	2	2	1	1	2	1	1	2	1	1	2	1	1	1	2
AxB0039	2	2	2	2	1	1	2	2	1	2	2	2	2	2	2	1	2	2	1	2	2	1	2	2	1	1	2	1	1	2	2	2	2	1	2	2	2	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	1	2	2
AxB0040	1	2	2	2	1	1	2	2	1	1	1	1	2	1	2	2	2	1	2	1	2	1	2	1	2	1	1	1	2	1	1	1	2	1	2	1	2	1	1	2	2	2	1	1	1	1	1	2	1	1	2	1	1	1	2
AxB0041	1	2	2	2	1	2	2	2	2	1	1	1	2	1	2	2	2	1	2	1	1	2	1	1	2	2	1	1	2	2	2	2	2	1	2	1	2	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	1	1	2
AxB0042	2	2	2	1	1	2	2	2	1	2	2	2	2	2	2	1	2	2	1	2	2	1	2	2	1	1	1	1	2	1	1	1	2	1	2	2	1	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	1	2	2
AxB0043	1	2	2	2	1	1	2	2	1	2	1	1	2	1	2	2	2	1	2	2	2	2	2	2	1	1	1	1	2	1	1	2	2	1	2	2	1	1	1	2	2	2	1	1	1	1	2	2	1	1	2	1	1	1	2
AxB0044	1	2	2	2	1	2	2	2	1	2	2	1	2	1	2	1	2	1	2	1	1	2	1	2	1	2	2	1	1	1	1	1	2	1	2	1	2	1	1	2	2	2	1	1	2	1	2	2	1	2	2	2	1	2	2
AxB0045	1	2	2	2	1	1	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	1	2	1	2	1	2	1	1	2	2	2	2	1	2	1	2	1	1	2	2	2	2	1	1	1	1	2	1	1	2	1	1	2	2
AxB0046	2	2	2	2	1	1	2	2	1	1	1	1	2	1	2	2	2	1	2	1	1	2	1	1	2	1	1	1	2	1	1	1	2	1	2	1	2	1	1	2	2	2	2	1	1	1	2	2	1	2	2	2	1	2	2
AxB0047	2	2	2	2	1	1	2	2	1	2	2	1	2	2	2	2	2	1	2	1	1	2	1	1	2	2	2	1	1	2	2	2	2	1	2	1	2	1	1	1	1	2	2	1	2	1	2	2	1	2	2	2	1	2	2
AxB0048	2	2	2	1	1	1	2	2	1	2	2	2	2	2	2	1	2	2	1	2	1	2	1	1	2	2	2	1	2	1	1	1	2	1	2	1	2	1	1	2	2	2	2	1	1	1	2	2	1	2	2	1	1	1	2
AxB0049	2	2	2	2	1	1	2	2	1	2	2	1	2	2	2	1	2	2	1	2	1	2	2	1	1	1	1	1	2	1	2	2	2	1	2	1	2	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	1	2	2
AxB0050	1	2	2	2	1	2	2	2	1	2	2	2	2	2	2	1	2	2	1	1	1	1	1	2	1	1	1	1	2	1	1	1	2	1	2	1	2	1	1	2	2	2	2	1	2	1	2	2	1	1	2	1	1	1	2
